Store_Name,Product_Code,Product_Name,Brand,Quantity,Value_Sales_EUR,Source_File,Status
WLS GAFANHA NAZARÉ,8094748,ELAS 50G,Elas,3,26.37,portalSOnae,MISSING_IN_DATABRIDGE
WLS ERICEIRA,7407622,ZZZQUIL MELATONINA 60 GOMAS,Zzzquil,6,171,portalSOnae,MISSING_IN_DATABRIDGE
WLS VIVEIROS,7942847,ZZZQUIL FORTE SONO 30GOMAS,Zzzquil,3,64.89,portalSOnae,MISSING_IN_DATABRIDGE
WLS ALCOBAÇA,6780529,VICKS SINEX RESPIR 10ML,Vicks,1,9,portalSOnae,MISSING_IN_DATABRIDGE
WLS TAPADA MERCÊS,2997715,VICKS INALADOR 1G,Vicks,2,9.9,portalSOnae,MISSING_IN_DATABRIDGE
WLS STO ANT CAVALEIR,4670511,TESTE GRAVIDEZ INDICADOR SEMAN CLEARBLUE,Clearblue,13,205.4,portalSOnae,MISSING_IN_DATABRIDGE
WLS LAGOS,6081764,TESTE GRAVIDEZ 6 DIAS CLEARBLUE,Clearblue,16,155.2,portalSOnae,MISSING_IN_DATABRIDGE
WLS GUARDA CBD,8375717,KUKIDENT PRO SEM SABOR 70G,Kukident,1,14.56,portalSOnae,MISSING_IN_DATABRIDGE
WLS STA MARIA LAMAS,7673167,ZZZQUILL MANGA BANANA 30 GOMAS,Zzzquil,1,12.62,portalSOnae,MISSING_IN_DATABRIDGE
WLS AVANCA,4670511,TESTE GRAVIDEZ INDICADOR SEMAN CLEARBLUE,Clearblue,2,31.6,portalSOnae,MISSING_IN_DATABRIDGE
WLS S JOÃO TALHA,8428119,KUKIDENT PRO SEM SABOR 47G,Kukident,2,20.38,portalSOnae,MISSING_IN_DATABRIDGE
WLS TAVIRA GRAN PLZA,7528978,KUKIDENT PRO ULTIMATE SABOR FRESCO 40G,Kukident,7,94.43,portalSOnae,MISSING_IN_DATABRIDGE
WLS 5 OUTUBRO,7407622,ZZZQUIL MELATONINA 60 GOMAS,Zzzquil,5,142.5,portalSOnae,MISSING_IN_DATABRIDGE
WLS CARTAXO,2997726,VICKS VAPORUB POMADA 100G,Vicks,1,14.28,portalSOnae,MISSING_IN_DATABRIDGE
WLS FARO BOM JOÃO,2997718,VICKS VAPORUB POMADA 50G,Vicks,2,17.96,portalSOnae,MISSING_IN_DATABRIDGE
WLS LEIRIA MARRAZES,8428422,KUKIDENT PRO FIXAÇÃO TODO DIA FRESC 47G,Kukident,2,20.38,portalSOnae,MISSING_IN_DATABRIDGE
WLS CALDAS MDL,8190318,VICKS XAROPE EXPECTORANTE MEL 180ML,Vicks,3,32.97,portalSOnae,MISSING_IN_DATABRIDGE
WLS ANTAS,6697571,KUKIDENT PRO PLUS FIRME MASTIG S/SAB 57G,Kukident,6,100.74,portalSOnae,MISSING_IN_DATABRIDGE
WLS GAIA CNT,7673167,ZZZQUILL MANGA BANANA 30 GOMAS,Zzzquil,1,18.03,portalSOnae,MISSING_IN_DATABRIDGE
WLS GAIA SHOPPING,2997715,VICKS INALADOR 1G,Vicks,8,39.6,portalSOnae,MISSING_IN_DATABRIDGE
WLS LA VIE GUARDA,8190317,VICKS XAROPE ANTITÚSSICO MEL 180ML,Vicks,4,43.96,portalSOnae,MISSING_IN_DATABRIDGE
WLS BARCELOS ROTUNDA,8375717,KUKIDENT PRO SEM SABOR 70G,Kukident,3,43.68,portalSOnae,MISSING_IN_DATABRIDGE
WLS ALGARVE SHOPPING,8190358,VICKS TOSSE NATURA 140ML,Vicks,4,47.8,portalSOnae,MISSING_IN_DATABRIDGE
WLS T VEDRAS RUA,7942847,ZZZQUIL FORTE SONO 30GOMAS,Zzzquil,4,86.52,portalSOnae,MISSING_IN_DATABRIDGE
WLS AVENIDA ROMA,2999073,CEBION VITAMINA C 20 COMPS. EFERVESCENTE,Cebion,4,34.95,portalSOnae,MISSING_IN_DATABRIDGE
WLS BRG AV LIBERDADE,6780529,VICKS SINEX RESPIR 10ML,Vicks,4,36,portalSOnae,MISSING_IN_DATABRIDGE
WLS LISBOA MARECHAL,8428119,KUKIDENT PRO SEM SABOR 47G,Kukident,3,30.57,portalSOnae,MISSING_IN_DATABRIDGE
WLS AVEIRO CENTER,8016260,ZZZQUIL SPRAY ORAL SONO 30ML,Zzzquil,3,58.71,portalSOnae,MISSING_IN_DATABRIDGE
WLS VFXIRA HOSPITAL,2997715,VICKS INALADOR 1G,Vicks,1,4.95,portalSOnae,MISSING_IN_DATABRIDGE
WLS TAVIRA GRAN PLZA,5218361,TESTE GRAVIDEZ 1 MINUTO CLEARBLUE,Clearblue,6,48,portalSOnae,MISSING_IN_DATABRIDGE
WLS GUARDA CBD,7479541,TESTE GRAVIDEZ DIG ULTRA ANTEC CLEARBLUE,Clearblue,1,15.8,portalSOnae,MISSING_IN_DATABRIDGE
WLS FORUM MONTIJO,8486814,RECARGA IO ULTIMATE CLEAN BR ORAL-B 4UN,Oral-B,2,75.98,portalSOnae,MISSING_IN_DATABRIDGE
WLS CABECEIRAS BASTO,2997726,VICKS VAPORUB POMADA 100G,Vicks,1,14.28,portalSOnae,MISSING_IN_DATABRIDGE
WLS BELAS,5182926,GRIPONAL 20 COMP. EFERVESCENTES,Griponal,45,508.5,portalSOnae,MISSING_IN_DATABRIDGE
WLS GAIA CNT,6780529,VICKS SINEX RESPIR 10ML,Vicks,3,27,portalSOnae,MISSING_IN_DATABRIDGE
WLS FORUM COIMBRA,7942847,ZZZQUIL FORTE SONO 30GOMAS,Zzzquil,5,108.15,portalSOnae,MISSING_IN_DATABRIDGE
WLS MAFRA CNT,2999073,CEBION VITAMINA C 20 COMPS. EFERVESCENTE,Cebion,1,9.45,portalSOnae,MISSING_IN_DATABRIDGE
WLS CANEÇAS,2997718,VICKS VAPORUB POMADA 50G,Vicks,4,35.92,portalSOnae,MISSING_IN_DATABRIDGE
WLS SEIA,8190318,VICKS XAROPE EXPECTORANTE MEL 180ML,Vicks,1,10.99,portalSOnae,MISSING_IN_DATABRIDGE
WLS CALDAS TAIPAS,7637243,KUKIDENT PRO PLUS BARREIRA S/SABOR 40G K,Kukident,2,21.38,portalSOnae,MISSING_IN_DATABRIDGE
WLS ALMADA RUA,8375717,KUKIDENT PRO SEM SABOR 70G,Kukident,3,43.68,portalSOnae,MISSING_IN_DATABRIDGE
WLS MATOSINHOS,7407622,ZZZQUIL MELATONINA 60 GOMAS,Zzzquil,2,57,portalSOnae,MISSING_IN_DATABRIDGE
WLS ERICEIRA,5182926,GRIPONAL 20 COMP. EFERVESCENTES,Griponal,15,169.5,portalSOnae,MISSING_IN_DATABRIDGE
CBD OLIVEIRA HOSPITA,2997718,VICKS VAPORUB POMADA 50G,Vicks,1,8.98,portalSOnae,MISSING_IN_DATABRIDGE
WLS COIMBRA EIRAS,2997726,VICKS VAPORUB POMADA 100G,Vicks,4,57.12,portalSOnae,MISSING_IN_DATABRIDGE
WLS BARCELOS ROTUNDA,7479541,TESTE GRAVIDEZ DIG ULTRA ANTEC CLEARBLUE,Clearblue,3,47.4,portalSOnae,MISSING_IN_DATABRIDGE
WLS TOMAR,7637243,KUKIDENT PRO PLUS BARREIRA S/SABOR 40G K,Kukident,11,117.59,portalSOnae,MISSING_IN_DATABRIDGE
WLS 5 OUTUBRO,5182926,GRIPONAL 20 COMP. EFERVESCENTES,Griponal,20,226,portalSOnae,MISSING_IN_DATABRIDGE
WLS ÍLHAVO,8190317,VICKS XAROPE ANTITÚSSICO MEL 180ML,Vicks,1,10.99,portalSOnae,MISSING_IN_DATABRIDGE
WLS ALPENDURADA,4670511,TESTE GRAVIDEZ INDICADOR SEMAN CLEARBLUE,Clearblue,5,79,portalSOnae,MISSING_IN_DATABRIDGE
WLS ANTAS,8399872,ZZZQUIL FORTE 60 GOMAS,Zzzquil,3,89.97,portalSOnae,MISSING_IN_DATABRIDGE
WLS CRUZ DE PAU,6780529,VICKS SINEX RESPIR 10ML,Vicks,3,27,portalSOnae,MISSING_IN_DATABRIDGE
WLS MINHO CENTER,3580611,FIO SUPER-FLOSS ORAL-B 50 FIOS,Oral-B,10,54.9,portalSOnae,MISSING_IN_DATABRIDGE
WLS ASPRELA,2999157,ILVICO N 20 CP DOR E FEBRE,Ilvico,2,17.98,portalSOnae,MISSING_IN_DATABRIDGE
