Store Banner;Store Channel;Store Name;Month (Real);Product Group 2;Brand;Cust Item Number;Source Item GTIN;Product Name;POS Unit Sales;Pos Value Sales
WELLS;PHARMA;WLS BRAGA AV LIBER;2026M04;Oral Care;Oral-B;5386943;08001841811840;ORAL-B PRO-EXPERT LIMPEZA PROFUNDA 75ML;1;3,99
WELLS;PHARMA;WLS BRAGA AV LIBER;2026M04;Oral Care;Oral-B;5609762;08001841811888;ORAL-B PRO-EXPERT FRESCURA SAUDAVEL 75ML;2;7,98
WELLS;ECOMMERCE;WELLS ONLINE;2026M04;Oral Care;Oral-B;4949749;08001841812007;ORAL B  PROEXP SENS 75ML IB GR;10;39,9
WELLS;PHARMA;WLS BRAGA AV LIBER;2026M04;Oral Care;Oral-B;4949749;08001841812007;ORAL B  PROEXP SENS 75ML IB GR;1;3,99
WELLS;PHARMA;WLS PORTELA SHOP;2026M04;Oral Care;Oral-B;7834724;08006540882603;Oral-B Pasta Dentífrica 3D White Express Brilho Fresco 75ml;1;5,99
WELLS;PHARMA;WLS BRAGA AV LIBER;2026M04;;;7525515;02100128668521;TAMP C/APLICADOR TAMPAX COMPAK SUPE 32UN;1;5,99
WELLS;PHARMA;WLS BRAGA AV LIBER;2026M04;Oral Care;Oral-B;6928401;08001090989680;ORAL-B COMPL ANTI CARIES 75ML;1;2,99
WELLS;ECOMMERCE;WELLS ONLINE;2026M04;Oral Care;Oral-B;3580611;08700216539005;Oral-B Fio Dentário Superfloss 50m;180;885,64
WELLS;PHARMA;WLS 5 OUTUBRO;2026M04;Oral Care;Oral-B;3580611;08700216539005;Oral-B Fio Dentário Superfloss 50m;11;59,84
WELLS;PHARMA;WLS MAIA;2026M04;Oral Care;Oral-B;3580611;08700216539005;Oral-B Fio Dentário Superfloss 50m;7;34,58
WELLS;PHARMA;WLS GAIA CNT;2026M04;Oral Care;Oral-B;3580611;08700216539005;Oral-B Fio Dentário Superfloss 50m;6;32,39
WELLS;PHARMA;WELLS CRUZ DE PAU;2026M04;Oral Care;Oral-B;3580611;08700216539005;Oral-B Fio Dentário Superfloss 50m;5;26,9
WELLS;PHARMA;WLS S.JOÃO TALHA;2026M04;Oral Care;Oral-B;3580611;08700216539005;Oral-B Fio Dentário Superfloss 50m;6;31,84
WELLS;PHARMA;WLS LAGOS;2026M04;Oral Care;Oral-B;3580611;08700216539005;Oral-B Fio Dentário Superfloss 50m;9;48,86
