Data;Fornecedor;NomeComercial;Categoria;LojaEntreposto;CodArtigo;DscArtigo;Ean;VPN;TipoArtigo;Marca;Coleccao;Quant;Valor;Column1
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7001 - dor e febre;L0791 - WLS GAFANHA NAZARÉ;8094748;ELAS 50G;8006540730607;-1;Permanente;ELAS;;3;26,37;WLS GAFANHA NAZARÉ
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7101 - suplem. alimentares;L5086 - WLS ERICEIRA;7407622;ZZZQUIL MELATONINA 60 GOMAS;7492603;-1;Permanente;ZZZQUIL;;6;171;WLS ERICEIRA
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7101 - suplem. alimentares;L0673 - WLS VIVEIROS;7942847;ZZZQUIL FORTE SONO 30GOMAS;7492587;-1;Permanente;ZZZQUIL;;3;64,89;WLS VIVEIROS
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7002 - sistema respiratório;L0697 - WLS ALCOBAÇA;6780529;VICKS SINEX RESPIR 10ML;5670815;-1;Permanente;VICKS;;1;9;WLS ALCOBAÇA
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7002 - sistema respiratório;L1140 - WLS TAPADA MERCÊS;2997715;VICKS INALADOR 1G;5410076916825;-1;Permanente;VICKS;;2;9,9;WLS TAPADA MERCÊS
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L1031 - WLS STO ANT CAVALEIR;4670511;TESTE GRAVIDEZ INDICADOR SEMAN CLEARBLUE;5013965723407;-1;Permanente;CLEARBLUE;;13;205,4;WLS STO ANT CAVALEIR
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L1211 - WLS LAGOS;6081764;TESTE GRAVIDEZ 6 DIAS CLEARBLUE;8700216570961;-1;Permanente;CLEARBLUE;;16;155,2;WLS LAGOS
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L5877 - WLS GUARDA CBD;8375717;KUKIDENT PRO SEM SABOR 70G;8700216594677;-1;Permanente;KUKIDENT;;1;14,56;WLS GUARDA CBD
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7101 - suplem. alimentares;L8461 - WLS STA MARIA LAMAS;7673167;ZZZQUILL MANGA BANANA 30 GOMAS;7492611;-1;Permanente;ZZZQUIL;;1;12,62;WLS STA MARIA LAMAS
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L3632 - WLS AVANCA;4670511;TESTE GRAVIDEZ INDICADOR SEMAN CLEARBLUE;5013965723407;-1;Permanente;CLEARBLUE;;2;31,6;WLS AVANCA
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L0086 - WLS S JOÃO TALHA;8428119;KUKIDENT PRO SEM SABOR 47G;8700216594745;-1;Permanente;KUKIDENT;;2;20,38;WLS S JOÃO TALHA
